368	7821
529	7053
829	6802
766	6259
722	5839
354	5830
684	5404
217	5369
494	5097
419	5051
692	4985
120	4969
883	4899
937	4677
177	4627
145	4554
438	4508
460	4434
362	4386
789	4301
39	4254
32	4246
470	4135
682	4130
283	4077
914	4036
538	3981
966	3918
183	3881
720	3859
775	3767
541	3735
919	3706
947	3688
888	3684
401	3665
862	3649
956	3623
205	3602
71	3504
346	3468
489	3418
12	3414
895	3381
795	3358
510	3277
598	3216
75	3146
614	3129
487	3129
798	3099
8	3087
825	3083
350	3068
793	3063
886	3052
509	3044
885	3039
279	3014
918	3007
675	2975
381	2957
581	2939
571	2901
471	2892
597	2879
758	2859
72	2850
854	2846
694	2843
548	2841
569	2834
844	2810
871	2806
631	2793
944	2792
526	2791
175	2789
561	2783
93	2774
782	2765
57	2741
239	2739
960	2732
522	2723
676	2716
998	2710
661	2692
390	2683
140	2683
797	2682
112	2678
21	2666
606	2664
132	2638
413	2637
653	2632
274	2626
236	2615
617	2613
151	2610
593	2600
285	2594
54	2593
752	2574
674	2525
778	2514
634	2489
276	2477
48	2471
78	2468
477	2461
921	2425
392	2419
70	2410
38	2401
788	2386
69	2368
663	2352
242	2323
161	2318
480	2307
780	2303
638	2287
229	2280
523	2243
803	2236
874	2236
296	2209
116	2191
73	2178
744	2176
204	2173
27	2164
809	2163
579	2163
6	2147
334	2143
738	2129
472	2123
280	2106
620	2100
196	2095
970	2085
387	2084
450	2081
832	2062
878	2047
411	2047
774	2045
349	2036
826	2021
373	2007
210	2006
192	2002
35	1983
746	1982
52	1979
55	1957
893	1945
440	1943
913	1939
897	1933
841	1925
706	1922
800	1914
214	1891
449	1889
658	1879
90	1874
763	1862
332	1860
427	1852
623	1843
227	1817
853	1802
110	1800
704	1793
290	1791
932	1786
805	1786
115	1774
975	1763
687	1761
984	1755
923	1753
100	1748
935	1739
45	1726
403	1722
43	1721
130	1709
765	1704
910	1695
577	1695
967	1694
275	1692
735	1689
17	1683
385	1675
814	1670
580	1667
887	1666
31	1664
605	1652
884	1644
982	1639
351	1638
673	1635
740	1631
769	1620
51	1610
68	1599
343	1596
572	1588
857	1587
521	1582
952	1574
639	1572
85	1554
129	1547
486	1546
516	1544
981	1541
168	1538
1	1532
534	1531
185	1529
867	1529
405	1525
630	1521
995	1521
259	1519
964	1517
812	1517
594	1515
469	1502
461	1496
686	1495
641	1493
326	1487
208	1481
846	1478
820	1472
736	1468
97	1466
950	1462
198	1461
33	1459
28	1454
162	1450
424	1447
294	1445
154	1445
500	1444
